source_code,identifier,rotulo,title,date,format,description,relation
PUBLICACIONES-C001,ES-CEDCS-ZARZA-PUBLICACIONES-C001,C001,"[Caja 1: Materiales para preparación de libro ""diseño SIN diseño. Cincuenta objetos anarquistas"" ]",[s.f.] - 2013,1 caja de archivo definitivo (contiene 3 carpetas de conservación).,"Materiales de trabajo y pruebas de edición para el libro [diseño SIN diseño. Cincuenta objetos anarquistas]. Contiene un ejemplar desmontado de prueba, otro ejemplar completo, fotocopias de referencia, notas manuscritas preparatorias y expedientes grapados de producción.",PUBLICACIONES
PUBLICACIONES-C001-P001,ES-CEDCS-ZARZA-PUBLICACIONES-C001-P001,C001-P001,"[Carpeta 1: Prueba de imprenta de  ""diseño SIN diseño. Cincuenta objetos anarquistas"" y otros documentos]",[s.f.] - 2013,1 carpeta de conservación,"Documentación vinculada al proceso de redacción, maquetación y edición del libro  ""diseño SIN diseño. Cincuenta objetos anarquistas"". Reúne un ejemplar impreso definitivo de la publicación, así como un juego de pruebas de imprenta desmontado con correcciones manuscritas en el texto. Incluye también fotocopias  grapadas: ""Capítulo 5. Visión estereoscópica"" y material fotográfico José Millán-Astray acompañado de una anotación manuscrita con la consigna ""Muera la inteligencia"".",PUBLICACIONES
PUBLICACIONES-C001-P002,ES-CEDCS-ZARZA-PUBLICACIONES-C001-P002,C001-P002,"[Carpeta 2: Borradores preparatorios acumulados durante el proceso de investigación, compilación de fuentes y elaboración del proyecto editorial de la obra ""diseño SIN diseño. Cincuenta objetos anarquistas""]",[s.f.] - 2013,1 carpeta de conservación,"Reúne material de trabajo y borradores preparatorios acumulados durante el proceso de investigación, compilación de fuentes y elaboración del proyecto editorial de la obra ""diseño SIN diseño. Cincuenta objetos anarquistas"". El conjunto integra manuscritos autógrafos, notas de trabajo con fotocomposición manual y material fotográfico adosado a los soportes, copias reprográficas monocromáticas y a color, correspondencia electrónica impresa e impresos preliminares con elementos de señalización y correcciones del texto.",PUBLICACIONES
PUBLICACIONES-C001-P003,ES-CEDCS-ZARZA-PUBLICACIONES-C001-P003,C001-P003,"[Carpeta 3: Posible material preparatorio de libro ""diseño SIN diseño. Cincuenta objetos anarquistas"". Grupos de fotocopias]",[s.f.],1 carpeta de conservación,Documentación de naturaleza exclusivamente textual constituida por agrupaciones de copias reprográficas reunidas mediante elementos metálicos de sujeción (grapas y clips). El conjunto comprende fragmentos e impresos de procedencia y contexto funcional no determinados.,PUBLICACIONES
PUBLICACIONES-C002,ES-CEDCS-ZARZA-PUBLICACIONES-C002,C002,"[Caja 2: Materiales de preparación de libro ""diseño SIN diseño. Cincuenta objetos anarquistas"" y ""La Infiltración"" ]",[ca. 2005 - ca. 2009],1 caja de archivo definitivo (contiene 5 carpetas de conservación).,"Materiales de preparacion de libro ""diseño SIN diseño. Cincuenta objetos anarquistas"" y publicación ""La Infiltración""",PUBLICACIONES
PUBLICACIONES-C002-P001,ES-CEDCS-ZARZA-PUBLICACIONES-C002-P001,C002-P001,"[Carpeta 1: Material preparatorio de libro""diseño SIN diseño. Cincuenta objetos anarquistas""]",[s.f.],1 carpeta de conservación,"Material de trabajo y borradores preparatorios acumulados en el desarrollo del proyecto editorial del libro ""diseño SIN diseño. Cincuenta objetos anarquistas"". El conjunto comprende pruebas de imprenta preliminares con textos de muestra y galeradas con correcciones manuscritas autógrafas, copias reprográficas a color con anotaciones marginales y reproducciones de material gráfico e impresos recortables de la Guerra Civil Española (1936-1939) con representación de iconografía anarquista.",PUBLICACIONES
PUBLICACIONES-C002-P002,ES-CEDCS-ZARZA-PUBLICACIONES-C002-P002,C002-P002,"[Carpeta 2: Material preparatorio de libro""diseño SIN diseño. Cincuenta objetos anarquistas""]",[s.f.],1 carpeta de conservación,"Documentación preparatoria del proceso de revisión, maquetación y fotocomposición para la publicación del libro ""diseño SIN diseño. Cincuenta objetos anarquistas"". El conjunto integra galeradas y pruebas de imprenta con correcciones manuscritas autógrafas en los soportes, acompañadas de material gráfico compuesto por impresiones fotográficas de contacto e imágenes en miniatura seleccionadas para la maquetación de la obra.",PUBLICACIONES
PUBLICACIONES-C002-P003,ES-CEDCS-ZARZA-PUBLICACIONES-C002-P003,C002-P003,"[Carpeta 3: Material preparatorio de libro""diseño SIN diseño. Cincuenta objetos anarquistas""]",2009.0,1 carpeta de conservación,"Documentación vinculada al proceso de revisión editorial, corrección de galeradas y coordinación entre autores para la publicación de la obra ""diseño SIN diseño. Cincuenta objetos anarquistas"". El conjunto reúne pruebas de imprenta con anotaciones y correcciones manuscritas autógrafas en los soportes, junto con correspondencia electrónica impresa relativa a las gestiones de edición e intercambiada por el coautor Koldo Artieda.",PUBLICACIONES
PUBLICACIONES-C002-P004,ES-CEDCS-ZARZA-PUBLICACIONES-C002-P004,C002-P004,"[Carpeta 4: Maqueta de preproducción y borrador de paginación del número 2 de la publicación ""La Infiltración""]",2005.0,1 carpeta de conservación,"Maqueta de preproducción y borrador de paginación (monstruo de imprenta) del número 2 (2005) de la publicación seriada ""La Infiltración"", dedicado al monográfico «La monarquía». La unidad está integrada por copias reprográficas grapadas estructuradas a modo de ejemplar de muestra para el diseño, maquetación y fotocomposición final de la edición.",PUBLICACIONES
PUBLICACIONES-C002-P005,ES-CEDCS-ZARZA-PUBLICACIONES-C002-P005,C002-P005,"[Carpeta 5: Ejemplares de papel A4 para correspondencia en blanco de la publicación ""La Infiltración""]",[s.f.],1 carpeta de conservación,"Ejemplares de papel A4 para correspondencia en blanco de la publicación ""La Infiltración"". Las páginas contienen el logotipo en zona superior, datos de localización postal en L'Escala (Girona) y lema tipografiado al pie (""Precipitemos los acontecimientos"").",PUBLICACIONES
